Epoch0---->precision:0.0859142978362325, recall:0.5, f1:0.14663287997245789
Epoch1---->precision:0.4140857021637675, recall:0.5, f1:0.4530053436756134
Epoch2---->precision:0.4140857021637675, recall:0.5, f1:0.4530053436756134
Epoch3---->precision:0.4140857021637675, recall:0.5, f1:0.4530053436756134
Epoch4---->precision:0.4140857021637675, recall:0.5, f1:0.4530053436756134
Epoch5---->precision:0.4140857021637675, recall:0.5, f1:0.4530053436756134
Epoch6---->precision:0.4140857021637675, recall:0.5, f1:0.4530053436756134
Epoch7---->precision:0.4140857021637675, recall:0.5, f1:0.4530053436756134
Epoch8---->precision:0.4140857021637675, recall:0.5, f1:0.4530053436756134
Epoch9---->precision:0.4140857021637675, recall:0.5, f1:0.4530053436756134
Epoch10---->precision:0.4140857021637675, recall:0.5, f1:0.4530053436756134
Epoch11---->precision:0.4140857021637675, recall:0.5, f1:0.4530053436756134
Epoch12---->precision:0.4140857021637675, recall:0.5, f1:0.4530053436756134
Epoch13---->precision:0.4140857021637675, recall:0.5, f1:0.4530053436756134
Epoch14---->precision:0.4140857021637675, recall:0.5, f1:0.4530053436756134
Epoch15---->precision:0.4140857021637675, recall:0.5, f1:0.4530053436756134
Epoch16---->precision:0.4140857021637675, recall:0.5, f1:0.4530053436756134
Epoch17---->precision:0.9153191489361703, recall:0.508641975308642, f1:0.47073274850845337
Epoch18---->precision:0.8743190686125468, recall:0.5747501770896579, f1:0.5895280838012695
Epoch19---->precision:0.9041694424662884, recall:0.7225498380894556, f1:0.7740335464477539
Epoch20---->precision:0.9171852211959164, recall:0.8256489071038251, f1:0.8624000549316406
Epoch21---->precision:0.9112214638136871, recall:0.8662511384335154, f1:0.886570930480957
Epoch22---->precision:0.9030284688311865, recall:0.8748007741347905, f1:0.8880459070205688
Epoch23---->precision:0.9097695562280066, recall:0.8785506476421776, f1:0.8931180238723755
Epoch24---->precision:0.9138325890301155, recall:0.8840012143290832, f1:0.897977352142334
Epoch25---->precision:0.9150808482977167, recall:0.887704918032787, f1:0.9006053805351257
Epoch26---->precision:0.9068862495826795, recall:0.8915724296701073, f1:0.8989778757095337
Epoch27---->precision:0.8998120751291505, recall:0.8966745092086622, f1:0.8982325792312622
Epoch28---->precision:0.89737140064836, recall:0.9217396529042704, f1:0.9089074730873108
Epoch29---->precision:0.8896328398909232, recall:0.9250948694596235, f1:0.9059606790542603
Epoch30---->precision:0.889999438748784, recall:0.9219034608378871, f1:0.9048162698745728
Epoch31---->precision:0.8959566320481813, recall:0.9224619257235378, f1:0.9084395170211792
Epoch32---->precision:0.9015696444919321, recall:0.9116993017607772, f1:0.906523585319519
Epoch33---->precision:0.9057652730787216, recall:0.9105109036632261, f1:0.9081140160560608
Epoch34---->precision:0.9011186926747262, recall:0.9104647338595426, f1:0.9056971073150635
Epoch35---->precision:0.8940960365635253, recall:0.9175236541185995, f1:0.9052045345306396
Epoch36---->precision:0.906206479147428, recall:0.9117454715644606, f1:0.9089431762695312
Epoch37---->precision:0.9055717627101219, recall:0.8991898148148147, f1:0.9023370742797852
Epoch38---->precision:0.913229830667553, recall:0.9009828476017001, f1:0.9069486856460571
Epoch39---->precision:0.9007755906296396, recall:0.9070171776968226, f1:0.9038541316986084
Epoch40---->precision:0.9039180618039678, recall:0.9156591530054645, f1:0.9096406698226929
Epoch41---->precision:0.902657374032334, recall:0.9018689283545841, f1:0.9022624492645264
Epoch42---->precision:0.9058302052551713, recall:0.8856557377049181, f1:0.8953043818473816
