Epoch0---->precision:0.34123711340206186, recall:0.5, f1:0.405637264251709
Epoch1---->precision:0.5016505456743772, recall:0.5001628281084475, f1:0.4226923882961273
Epoch2---->precision:0.34123711340206186, recall:0.5, f1:0.405637264251709
Epoch3---->precision:0.34123711340206186, recall:0.5, f1:0.405637264251709
Epoch4---->precision:0.34123711340206186, recall:0.5, f1:0.405637264251709
Epoch5---->precision:0.34123711340206186, recall:0.5, f1:0.405637264251709
Epoch6---->precision:0.34123711340206186, recall:0.5, f1:0.405637264251709
Epoch7---->precision:0.34123711340206186, recall:0.5, f1:0.405637264251709
Epoch8---->precision:0.34123711340206186, recall:0.5, f1:0.405637264251709
Epoch9---->precision:0.34123711340206186, recall:0.5, f1:0.405637264251709
Epoch10---->precision:0.34123711340206186, recall:0.5, f1:0.405637264251709
Epoch11---->precision:0.34123711340206186, recall:0.5, f1:0.405637264251709
Epoch12---->precision:0.34123711340206186, recall:0.5, f1:0.405637264251709
Epoch13---->precision:0.8422249793217536, recall:0.5045454545454545, f1:0.41534343361854553
Epoch14---->precision:0.9403938265034593, recall:0.8545454545454545, f1:0.8832014799118042
Epoch15---->precision:0.9194153398927307, recall:0.951512535802566, f1:0.9319422245025635
Epoch16---->precision:0.9293804365556981, recall:0.9585514183701496, f1:0.9412466287612915
Epoch17---->precision:0.9743654434370014, recall:0.9773001922548751, f1:0.9758127927780151
Epoch18---->precision:0.9667335651946118, recall:0.92502256052105, f1:0.942387580871582
Epoch19---->precision:0.9247946611909651, recall:0.8097402597402598, f1:0.8418574333190918
Epoch20---->precision:0.912101593625498, recall:0.7707792207792208, f1:0.8031212091445923
Epoch21---->precision:0.9434619506966774, recall:0.862987012987013, f1:0.8906539082527161
Epoch22---->precision:0.9755747126436782, recall:0.9448051948051948, f1:0.9582719802856445
Epoch23---->precision:0.985940893484029, recall:0.9751128026052498, f1:0.9802789688110352
Epoch24---->precision:0.9819221563934555, recall:0.9819221563934555, f1:0.9819221496582031
Epoch25---->precision:0.9755238167309388, recall:0.9832345901832307, f1:0.9792383909225464
Epoch26---->precision:0.9719230769230769, recall:0.9814219013614784, f1:0.976454496383667
Epoch27---->precision:0.9739842574372034, recall:0.9819810099266293, f1:0.9778302907943726
Epoch28---->precision:0.9766093742951234, recall:0.9808490603052537, f1:0.978687584400177
Epoch29---->precision:0.9851559257137356, recall:0.9824361439165065, f1:0.983779788017273
Epoch30---->precision:0.986551279670205, recall:0.9810472005336054, f1:0.9837338924407959
Epoch31---->precision:0.9854801129639935, recall:0.9764566249460509, f1:0.9807947278022766
Epoch32---->precision:0.985940893484029, recall:0.9751128026052498, f1:0.9802789688110352
Epoch33---->precision:0.9845721682868804, recall:0.9708694628634206, f1:0.9773267507553101
Epoch34---->precision:0.9852608396977411, recall:0.971171577667046, f1:0.9778009653091431
Epoch35---->precision:0.9843913788047431, recall:0.9692235257189941, f1:0.9763270616531372
