Epoch0---->precision:0.47064079652795504, recall:0.5, f1:0.4848763942718506
Epoch1---->precision:0.47064079652795504, recall:0.5, f1:0.4848763942718506
Epoch2---->precision:0.47063704838503767, recall:0.4999321941958232, f1:0.48484253883361816
Epoch3---->precision:0.4703149199793495, recall:0.49416870084079195, f1:0.48194682598114014
Epoch4---->precision:0.5017064160477759, recall:0.5047307814766335, f1:0.4828774929046631
Epoch5---->precision:0.529389215435727, recall:0.5005424464334147, f1:0.05659904703497887
Epoch6---->precision:0.02935920347204493, recall:0.5, f1:0.05546177551150322
Epoch7---->precision:0.02935920347204493, recall:0.5, f1:0.05546177551150322
Epoch8---->precision:0.02935920347204493, recall:0.5, f1:0.05546177551150322
Epoch9---->precision:0.02935920347204493, recall:0.5, f1:0.05546177551150322
Epoch10---->precision:0.02935920347204493, recall:0.5, f1:0.05546177551150322
Epoch11---->precision:0.02935920347204493, recall:0.5, f1:0.05546177551150322
Epoch12---->precision:0.02935920347204493, recall:0.5, f1:0.05546177551150322
Epoch13---->precision:0.02935920347204493, recall:0.5, f1:0.05546177551150322
Epoch14---->precision:0.02935920347204493, recall:0.5, f1:0.05546177551150322
Epoch15---->precision:0.02935920347204493, recall:0.5, f1:0.05546177551150322
Epoch16---->precision:0.02935920347204493, recall:0.5, f1:0.05546177551150322
Epoch17---->precision:0.5293704507725705, recall:0.5002034174125305, f1:0.05588851869106293
Epoch18---->precision:0.47021882688074584, recall:0.492473555736371, f1:0.48108893632888794
Epoch19---->precision:0.4702842377260982, recall:0.4936262544073773, f1:0.48167261481285095
Epoch20---->precision:0.47029191423404804, recall:0.49376186601573097, f1:0.4817412197589874
Epoch21---->precision:0.47033023735810114, recall:0.4944399240574993, f1:0.48208382725715637
Epoch22---->precision:0.47032640949554894, recall:0.4943721182533225, f1:0.4820495843887329
Epoch23---->precision:0.47031875080655566, recall:0.4942365066449688, f1:0.481981098651886
Epoch24---->precision:0.4703570047686558, recall:0.49491456468673717, f1:0.48232340812683105
Epoch25---->precision:0.4703455389375967, recall:0.4947111472742067, f1:0.48222076892852783
Epoch26---->precision:0.47032640949554894, recall:0.4943721182533225, f1:0.4820495843887329
Epoch27---->precision:0.4703149199793495, recall:0.49416870084079195, f1:0.48194682598114014
Epoch28---->precision:0.4703072553576039, recall:0.49403308923243827, f1:0.4818783402442932
Epoch29---->precision:0.4702842377260982, recall:0.4936262544073773, f1:0.48167261481285095
Epoch30---->precision:0.4702842377260982, recall:0.4936262544073773, f1:0.48167261481285095
Epoch31---->precision:0.4702496442892252, recall:0.49301600216978575, f1:0.48136380314826965
Epoch32---->precision:0.47023809523809523, recall:0.4928125847572552, f1:0.481260746717453
Epoch33---->precision:0.49389944695136423, recall:0.49764330609308854, f1:0.49222874641418457
Epoch34---->precision:0.5080948689243958, recall:0.515945271871794, f1:0.504127562046051
Epoch35---->precision:0.5128670159671493, recall:0.5496765957948608, f1:0.4662353992462158
Epoch36---->precision:0.5167770844873858, recall:0.5755011733352201, f1:0.4151001572608948
Epoch37---->precision:0.5177664817541503, recall:0.5778605205127298, f1:0.35952314734458923
Epoch38---->precision:0.5203312592117582, recall:0.5898046603224019, f1:0.36823421716690063
Epoch39---->precision:0.5179419508634209, recall:0.578139998349076, f1:0.35555487871170044
Epoch40---->precision:0.5217037189896794, recall:0.5967388356269383, f1:0.431639701128006
Epoch41---->precision:0.5186477170057606, recall:0.5775739672881216, f1:0.4579980671405792
Epoch42---->precision:0.5152945093489879, recall:0.5422256223393592, f1:0.502293050289154
Epoch43---->precision:0.514909725753378, recall:0.5239360384901122, f1:0.5155529975891113
Epoch44---->precision:0.5177251715626828, recall:0.5175805709838327, f1:0.5176519751548767
Epoch45---->precision:0.5150324618982429, recall:0.5080444216459712, f1:0.5080975294113159
Epoch46---->precision:0.5070384487596532, recall:0.5034911144915744, f1:0.501842737197876
Epoch47---->precision:0.5073240639639323, recall:0.5029424770934305, f1:0.5000168681144714
Epoch48---->precision:0.524112893774969, recall:0.5127990825579887, f1:0.5142595171928406
Epoch49---->precision:0.549351842420061, recall:0.5384217167250387, f1:0.5426912307739258
Epoch50---->precision:0.5663193468278511, recall:0.6001441610358368, f1:0.5775026082992554
Epoch51---->precision:0.5667110550886991, recall:0.6219018643648071, f1:0.5805567502975464
Epoch52---->precision:0.5589072768668593, recall:0.6169541043148077, f1:0.5706440806388855
Epoch53---->precision:0.5480308007637017, recall:0.6008634921757998, f1:0.5558728575706482
Epoch54---->precision:0.5425288504212321, recall:0.5975492623907737, f1:0.5469973087310791
Epoch55---->precision:0.5153716853289636, recall:0.5418146602044787, f1:0.5031754970550537
Epoch56---->precision:0.5083329488704195, recall:0.5345046048985271, f1:0.44488227367401123
Epoch57---->precision:0.5129284578442598, recall:0.5563569415455007, f1:0.4334169626235962
Epoch58---->precision:0.5145822536160358, recall:0.5659529368757443, f1:0.3991924226284027
Epoch59---->precision:0.51084848036264, recall:0.5488700015330008, f1:0.3784840703010559
Epoch60---->precision:0.5102721179730487, recall:0.5460324760321222, f1:0.3703829050064087
Epoch61---->precision:0.5095304755599865, recall:0.5426787419959671, f1:0.41149675846099854
Epoch62---->precision:0.5157939441891861, recall:0.5527399441044327, f1:0.4892224669456482
Epoch63---->precision:0.5319203498561024, recall:0.5702356104291223, f1:0.5335105657577515
Epoch64---->precision:0.5696384102358599, recall:0.6147574910673224, f1:0.5830570459365845
